id,TryLine,ThrowsBlock,ExceptionType,FilePath,StartLine
1,"'-tryline","private void startNonGui(String testFile,String logFile,CLOption remoteStart,boolean generateReportDashboard) throws IllegalUserActionException, ConfigurationException {
  System.setProperty(JMETER_NON_GUI,true);
  JMeter driver=new JMeter();
  driver.remoteProps=this.remoteProps;
  driver.remoteStop=this.remoteStop;
  driver.deleteResultFile=this.deleteResultFile;
  PluginManager.install(this,false);
  String remoteHostsString=null;
  if (remoteStart != null) {
    remoteHostsString=remoteStart.getArgument();
    if (remoteHostsString == null) {
      remoteHostsString=JMeterUtils.getPropDefault(remote_hosts,127.0.0.1);
    }
  }
  if (testFile == null) {
    throw new IllegalUserActionException(Non-GUI runs require a test plan);
  }
  driver.runNonGui(testFile,logFile,remoteStart != null,remoteHostsString,generateReportDashboard);
}
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\JMeter.java",983
2,"'-tryline","@SuppressWarnings(JdkObsolete) void runNonGui(String testFile,String logFile,boolean remoteStart,String remoteHostsString,boolean generateReportDashboard) throws ConfigurationException {
  try {
    File f=new File(testFile);
    if (!f.exists() || !f.isFile()) {
      throw new ConfigurationException(The file  + f.getAbsolutePath() +  doesn't exist or can't be opened);
    }
    FileServer.getFileServer().setBaseForScript(f);
    HashTree tree=SaveService.loadTree(f);
    @SuppressWarnings(deprecation) JMeterTreeModel treeModel=new JMeterTreeModel(new Object());
    JMeterTreeNode root=(JMeterTreeNode)treeModel.getRoot();
    treeModel.addSubTree(tree,root);
    SearchByClass<ReplaceableController> replaceableControllers=new SearchByClass<>(ReplaceableController.class);
    tree.traverse(replaceableControllers);
    Collection<ReplaceableController> replaceableControllersRes=replaceableControllers.getSearchResults();
    for (    ReplaceableController replaceableController : replaceableControllersRes) {
      replaceableController.resolveReplacementSubTree(root);
    }
    HashTree clonedTree=convertSubTree(tree,true);
    Summariser summariser=null;
    String summariserName=JMeterUtils.getPropDefault(summariser.name,);
    if (summariserName.length() > 0) {
      log.info(Creating summariser <{}>,summariserName);
      println(Creating summariser < + summariserName + >);
      summariser=new Summariser(summariserName);
    }
    ResultCollector resultCollector=null;
    if (logFile != null) {
      resultCollector=new ResultCollector(summariser);
      resultCollector.setFilename(logFile);
      clonedTree.add(clonedTree.getArray()[0],resultCollector);
    }
 else {
      if (summariser != null) {
        clonedTree.add(clonedTree.getArray()[0],summariser);
      }
    }
    if (deleteResultFile) {
      SearchByClass<ResultCollector> resultListeners=new SearchByClass<>(ResultCollector.class);
      clonedTree.traverse(resultListeners);
      Iterator<ResultCollector> irc=resultListeners.getSearchResults().iterator();
      while (irc.hasNext()) {
        ResultCollector rc=irc.next();
        File resultFile=new File(rc.getFilename());
        if (resultFile.exists() && !resultFile.delete()) {
          throw new IllegalStateException(Could not delete results file  + resultFile.getAbsolutePath() + (canRead:+ resultFile.canRead()+ , canWrite:+ resultFile.canWrite()+ ));
        }
      }
    }
    ReportGenerator reportGenerator=null;
    if (logFile != null && generateReportDashboard) {
      reportGenerator=new ReportGenerator(logFile,resultCollector);
    }
    clonedTree.add(clonedTree.getArray()[0],new RemoteThreadsListenerTestElement());
    List<JMeterEngine> engines=new ArrayList<>();
    println(Created the tree successfully using  + testFile);
    if (!remoteStart) {
      JMeterEngine engine=new StandardJMeterEngine();
      clonedTree.add(clonedTree.getArray()[0],new ListenToTest(org.apache.jmeter.JMeter.ListenToTest.RunMode.LOCAL,false,reportGenerator));
      engine.configure(clonedTree);
      long now=System.currentTimeMillis();
      println(Starting standalone test @  + new Date(now) +  (+ now+ ));
      engines.add(engine);
      engine.runTest();
    }
 else {
      java.util.StringTokenizer st=new java.util.StringTokenizer(remoteHostsString.trim(),,);
      List<String> hosts=new ArrayList<>();
      while (st.hasMoreElements()) {
        hosts.add(((String)st.nextElement()).trim());
      }
      ListenToTest testListener=new ListenToTest(org.apache.jmeter.JMeter.ListenToTest.RunMode.REMOTE,remoteStop,reportGenerator);
      clonedTree.add(clonedTree.getArray()[0],testListener);
      DistributedRunner distributedRunner=new DistributedRunner(this.remoteProps);
      distributedRunner.setStdout(System.out);
      distributedRunner.setStdErr(System.err);
      distributedRunner.init(hosts,clonedTree);
      engines.addAll(distributedRunner.getEngines());
      testListener.setStartedRemoteEngines(engines);
      distributedRunner.start();
    }
    startUdpDdaemon(engines);
  }
 catch (  ConfigurationException e) {
    throw e;
  }
catch (  Exception e) {
    System.out.println(Error in NonGUIDriver  + e.toString());
    log.error(Error in NonGUIDriver,e);
    throw new ConfigurationException(Error in NonGUIDriver  + e.getMessage(),e);
  }
}
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\JMeter.java",1011
3,"'-tryline","/** 
 * Convert the specified string value to the property type.
 * @param < TProperty > the type of the property
 * @param value the string value
 * @param clazz the class of the property (must not be  {@code null})
 * @return the converted string
 * @throws ConfigurationException when unable to convert the string
 */
public static <TProperty>TProperty convert(String value,Class<TProperty> clazz) throws ConfigurationException {
  try {
    return Converters.convert(clazz,value);
  }
 catch (  ConvertException ex) {
    throw new ConfigurationException(String.format(Convert \%s\ to \%s\ is not supported,value,clazz.getName()));
  }
}
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\report\config\ConfigurationUtils.java",37
4,"'-tryline","@Override public void initialize(String exportId,ExporterConfiguration exportConfiguration) throws ConfigurationException {
  log.debug(Load configuration for exporter '{}',exportId);
  String className=getRequiredProperty(props,getExporterPropertyKey(exportId,SUBCONF_KEY_CLASSNAME),,String.class);
  log.debug(Using class:'{}' for exporter:'{}',className,exportId);
  exportConfiguration.setClassName(className);
  boolean filtersOnlySampleSeries=getRequiredProperty(props,getExporterPropertyKey(exportId,EXPORTER_KEY_FILTERS_ONLY_SAMPLE_SERIES),EXPORTER_KEY_FILTERS_ONLY_SAMPLE_SERIES_DEFAULT,Boolean.class);
  exportConfiguration.filtersOnlySampleSeries(filtersOnlySampleSeries);
  String seriesFilter=getRequiredProperty(props,getExporterPropertyKey(exportId,EXPORTER_KEY_SERIES_FILTER),EXPORTER_KEY_SERIES_FILTER_DEFAULT,String.class);
  exportConfiguration.setSeriesFilter(seriesFilter);
  boolean showControllerSeriesOnly=getRequiredProperty(props,getExporterPropertyKey(exportId,EXPORTER_KEY_SHOW_CONTROLLERS_ONLY),EXPORTER_KEY_SHOW_CONTROLLERS_ONLY_DEFAULT,Boolean.class);
  exportConfiguration.showControllerSeriesOnly(showControllerSeriesOnly);
  Map<String,SubConfiguration> graphExtraConfigurations=exportConfiguration.getGraphExtraConfigurations();
  loadSubConfiguration(graphExtraConfigurations,props,getSubConfigurationPropertyKey(REPORT_GENERATOR_EXPORTER_KEY_PREFIX,exportId,EXPORTER_KEY_GRAPH_EXTRA_OPTIONS),true,new SubConfigurationFactory<SubConfiguration>(){
    @Override public SubConfiguration createSubConfiguration(){
      return new SubConfiguration();
    }
    @Override public void initialize(    String subConfId,    SubConfiguration subConfiguration){
    }
  }
);
}
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\report\config\ReportGeneratorConfiguration.java",141
5,"'-tryline","@Override public void initialize(String graphId,GraphConfiguration graphConfiguration) throws ConfigurationException {
  log.debug(Load configuration for graph '{}',graphId);
  boolean excludeControllers=getRequiredProperty(props,getGraphPropertyKey(graphId,GRAPH_KEY_EXCLUDE_CONTROLLERS),GRAPH_KEY_EXCLUDE_CONTROLLERS_DEFAULT,Boolean.class);
  graphConfiguration.setExcludeControllers(excludeControllers);
  String title=getRequiredProperty(props,getGraphPropertyKey(graphId,GRAPH_KEY_TITLE),GRAPH_KEY_TITLE_DEFAULT,String.class);
  graphConfiguration.setTitle(title);
  String className=getRequiredProperty(props,getGraphPropertyKey(graphId,SUBCONF_KEY_CLASSNAME),,String.class);
  log.debug(Using class:'{}' for graph:'{}' with id:'{}',className,title,graphId);
  graphConfiguration.setClassName(className);
}
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\report\config\ReportGeneratorConfiguration.java",227
6,"'-tryline","void initialize(String subConfId,T subConfiguration) throws ConfigurationException ;
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\report\config\ReportGeneratorConfiguration.java",271
7,"'-tryline","/** 
 * Gets the property matching the specified key in the properties and casts it. Returns a default value is the key is not found.
 * @param < TProperty > the target type
 * @param props the properties
 * @param key the key of the property
 * @param defaultValue the default value
 * @param clazz the target class
 * @return the property
 * @throws ConfigurationException thrown when the property cannot be cast to the specified type
 */
private static <TProperty>TProperty getProperty(Props props,String key,TProperty defaultValue,Class<TProperty> clazz) throws ConfigurationException {
  String value=props.getValue(key);
  if (value == null) {
    log.info(Property '{}' not found, using default value '{}' instead.,key,defaultValue);
    return defaultValue;
  }
  return ConfigurationUtils.convert(value,clazz);
}
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\report\config\ReportGeneratorConfiguration.java",467
8,"'-tryline","private static <TProperty>TProperty getOptionalProperty(Props props,String key,Class<TProperty> clazz) throws ConfigurationException {
  TProperty property=getProperty(props,key,null,clazz);
  if (property != null) {
    log.debug(Use '{}' value for optional property '{}',property,key);
  }
  return property;
}
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\report\config\ReportGeneratorConfiguration.java",496
9,"'-tryline","private static <TProperty>TProperty getRequiredProperty(Props props,String key,TProperty defaultValue,Class<TProperty> clazz) throws ConfigurationException {
  TProperty property=getProperty(props,key,defaultValue,clazz);
  log.debug(Use '{}' value for required property '{}',property,key);
  return property;
}
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\report\config\ReportGeneratorConfiguration.java",505
10,"'-tryline","/** 
 * * Initialize sub configuration items. This function iterates over properties and find each direct sub properties with the specified prefix <p> E.g. : </p> <p> With properties : <ul> <li>jmeter.reportgenerator.graph.graph1.title</li> <li>jmeter.reportgenerator.graph.graph1.min_abscissa</li> <li>jmeter.reportgenerator.graph.graph2.title</li> </ul> </p> <p> And prefix : jmeter.reportgenerator.graph </p> <p> The function creates 2 sub configuration items : graph1 and graph2 </p>
 * @param < TSubConf > the generic type
 * @param subConfigurations the sub configurations
 * @param props the props
 * @param propertyPrefix the property prefix
 * @param factory the factory
 * @param noPropertyKey indicates whether extra properties are prefixed with the SUBCONF_KEY_PROPERTY
 * @throws ConfigurationException the configuration exception
 */
private static <TSubConf extends SubConfiguration>void loadSubConfiguration(Map<String,TSubConf> subConfigurations,Props props,String propertyPrefix,boolean noPropertyKey,SubConfigurationFactory<TSubConf> factory) throws ConfigurationException {
  for (  Map.Entry<String,Object> entry : props.innerMap(propertyPrefix).entrySet()) {
    String key=entry.getKey();
    int index=key.indexOf(KEY_DELIMITER);
    if (index > 0) {
      String name=key.substring(0,index);
      TSubConf subConfiguration=subConfigurations.get(name);
      if (subConfiguration == null) {
        subConfiguration=factory.createSubConfiguration();
        subConfigurations.put(name,subConfiguration);
      }
    }
 else {
      log.warn(Invalid property '{}', skip it.,key);
    }
  }
  for (  Map.Entry<String,TSubConf> entry : subConfigurations.entrySet()) {
    String subConfId=entry.getKey();
    final TSubConf subConfiguration=entry.getValue();
    factory.initialize(subConfId,subConfiguration);
    Map<String,Object> extraKeys=props.innerMap(noPropertyKey ? getSubConfigurationPropertyPrefix(propertyPrefix,subConfId) : getSubConfigurationPropertyKey(propertyPrefix,subConfId,SUBCONF_KEY_PROPERTY));
    Map<String,String> extraProperties=subConfiguration.getProperties();
    for (    Map.Entry<String,Object> entryProperty : extraKeys.entrySet()) {
      extraProperties.put(entryProperty.getKey(),(String)entryProperty.getValue());
    }
  }
}
","org.apache.jmeter.report.config.ConfigurationException","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\report\config\ReportGeneratorConfiguration.java",513
