id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Checked,ParentNodeType,RecoverFlag,InnerCatch,ParentTryStartLine,Logged,MultiLog,Abort,Default,GetCause,OtherInvocation,NumThrown,NumThrowNew,NumThrowWrapCurrentException,Return,Continue,EmptyBlock,CatchException,FinallyThrowing,NumDistinctMethods,NumMethodsNotBinded,NumDistinctExceptions,NumSpecificHandler,NumSubsumptionHandler,NumSupersumptionHandler,NumOtherHandler,MaxLevel,NumIsBindingInfo,NumIsDocSemantic,NumIsDocSyntax,NumIsThrow,ToDo,ExceptionType,ParentMethod,ParentType,FilePath,StartLine
1,257,268,6,269,284,11,12333,841,256,285,21,1,0,1,1,31,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,"com.github.shyiko.mysql.binlog.event.deserialization.EventDataDeserializationException","nextEvent(ByteArrayInputStream)","io.debezium.connector.mysql.legacy.BinlogReader","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\BinlogReader.java",269
2,231,242,6,243,267,14,10919,1383,230,268,24,1,0,1,1,31,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,"com.github.shyiko.mysql.binlog.event.deserialization.EventDataDeserializationException","nextEvent(ByteArrayInputStream)","io.debezium.connector.mysql.MySqlStreamingChangeEventSource","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\MySqlStreamingChangeEventSource.java",243
3,115,120,3,120,128,6,5345,313,80,136,53,1,0,0,0,25,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,1,0,0,"io.debezium.text.ParsingException","recover(Map<String,?>,Map<String,?>,Tables,DdlParser)","io.debezium.relational.history.AbstractDatabaseHistory","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\relational\history\AbstractDatabaseHistory.java",120
4,44,48,2,48,51,1,1715,98,42,53,9,1,0,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"io.debezium.text.ParsingException","delegateEnterRule(ParserRuleContext,Collection<ParseTreeListener>,Collection<ParsingException>)","io.debezium.antlr.ProxyParseTreeListenerUtil","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-ddl-parser\src\main\java\io\debezium\antlr\ProxyParseTreeListenerUtil.java",48
5,63,67,2,67,70,1,2517,98,61,73,9,1,0,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"io.debezium.text.ParsingException","delegateExitRule(ParserRuleContext,Collection<ParseTreeListener>,Collection<ParsingException>)","io.debezium.antlr.ProxyParseTreeListenerUtil","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-ddl-parser\src\main\java\io\debezium\antlr\ProxyParseTreeListenerUtil.java",67
6,83,86,1,86,89,1,3274,98,81,91,8,1,0,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"io.debezium.text.ParsingException","visitErrorNode(ErrorNode,Collection<ParseTreeListener>,Collection<ParsingException>)","io.debezium.antlr.ProxyParseTreeListenerUtil","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-ddl-parser\src\main\java\io\debezium\antlr\ProxyParseTreeListenerUtil.java",86
7,101,104,1,104,107,1,4032,98,99,109,8,1,0,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"io.debezium.text.ParsingException","visitTerminal(TerminalNode,Collection<ParseTreeListener>,Collection<ParsingException>)","io.debezium.antlr.ProxyParseTreeListenerUtil","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-ddl-parser\src\main\java\io\debezium\antlr\ProxyParseTreeListenerUtil.java",104
8,94,98,2,98,101,1,4411,62,93,102,7,1,0,1,1,28,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,2,1,0,0,1,1,2,0,0,0,0,"java.lang.NoSuchMethodException","!NAME_NA!","io.debezium.converters.CloudEventsConverter","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\converters\CloudEventsConverter.java",98
9,348,351,1,351,354,1,16729,146,343,378,27,1,0,0,0,50,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"org.apache.kafka.common.errors.SerializationException","reconvertData(String,byte[],SerializerType,Boolean)","io.debezium.converters.CloudEventsConverter","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\converters\CloudEventsConverter.java",351
10,41,44,1,44,47,1,1646,54,39,48,7,1,0,1,1,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,1,1,0,0,0,1,1,0,0,0,0,"java.net.URISyntaxException","SqlServerController(Deployment,List<Service>,String,OpenShiftClient)","io.debezium.testing.openshift.tools.databases.sqlserver.SqlServerController","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-testing\debezium-testing-openshift\src\main\java\io\debezium\testing\openshift\tools\databases\sqlserver\SqlServerController.java",44
