id,TryLine,TryBlock,ParentNodeType,RecoverFlag,Logged,Abort,Default,GetCause,OtherInvocation,Thrown,Return,Continue,FinallyBlock,TryMethodsAndExceptions,TryMethodsBinded,DistinctExceptions,CatchBlock,ExceptionType,ParentMethod,ParentType,FilePath,StartLine
1,"'-tryline","257","org.eclipse.jdt.core.dom.MethodDeclaration","'-recoverflag","'-logged","'-abort","'-default","'-getcause","[header.setEventType(EventType.INCIDENT), header.setTimestamp(edde.getEventHeader().getTimestamp()), edde.getEventHeader().getTimestamp(), edde.getEventHeader(), header.setServerId(edde.getEventHeader().getServerId()), edde.getEventHeader().getServerId(), edde.getEventHeader(), edde.getEventHeader(), header.setEventLength(((EventHeaderV4)edde.getEventHeader()).getEventLength()), ((EventHeaderV4)edde.getEventHeader()).getEventLength(), edde.getEventHeader(), header.setNextPosition(((EventHeaderV4)edde.getEventHeader()).getNextPosition()), ((EventHeaderV4)edde.getEventHeader()).getNextPosition(), edde.getEventHeader(), header.setFlags(((EventHeaderV4)edde.getEventHeader()).getFlags()), ((EventHeaderV4)edde.getEventHeader()).getFlags(), edde.getEventHeader()]","'-thrown","[return new Event(header,data);
]","'-continue","'-finallyblock","{Lcom/github/shyiko/mysql/binlog/event/EventHeader;.getEventType()Lcom/github/shyiko/mysql/binlog/event/EventType;=[], Ljava/util/Map<Ljava/lang/Long;Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;>;.put(Ljava/lang/Long;Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;)Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;=[], Lcom/github/shyiko/mysql/binlog/event/Event;.getData<T::Lcom/github/shyiko/mysql/binlog/event/EventData;>()TT;%<Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;>=[], Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;.getTableId()J=[], Lcom/github/shyiko/mysql/binlog/event/Event;.getHeader<T::Lcom/github/shyiko/mysql/binlog/event/EventHeader;>()TT;%<Lcom/github/shyiko/mysql/binlog/event/EventHeader;>=[]}","{Lcom/github/shyiko/mysql/binlog/event/EventHeader;.getEventType()Lcom/github/shyiko/mysql/binlog/event/EventType;=1, Ljava/util/Map<Ljava/lang/Long;Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;>;.put(Ljava/lang/Long;Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;)Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;=1, Lcom/github/shyiko/mysql/binlog/event/Event;.getData<T::Lcom/github/shyiko/mysql/binlog/event/EventData;>()TT;%<Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;>=1, Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;.getTableId()J=1, Lcom/github/shyiko/mysql/binlog/event/Event;.getHeader<T::Lcom/github/shyiko/mysql/binlog/event/EventHeader;>()TT;%<Lcom/github/shyiko/mysql/binlog/event/EventHeader;>=1}","[]","EventByTableId.put(tableMapEvent.getTableId(), tableMapEvent);
                    }
                    return event;
                }
                // DBZ-217 In case an event couldn't be read we create a pseudo-event for the sake of logging
                catch (EventDataDeserializationException edde) {
                    EventHeaderV4 header = new EventHeaderV4();
                    header.setEventType(EventType.INCIDENT);
                    header.setTimestamp(edde.getEventHeader().getTimestamp());
                    header.setServerId(edde.getEventHeader().getServerId());

                    if (edde.getEventHeader() instanceof EventHeaderV4) {
                        header.setEventLength(((EventHeaderV4) edde.getEventHeader()).getEventLength());
                        header.setNextPosition(((EventH","com.github.shyiko.mysql.binlog.event.deserialization.EventDataDeserializationException","nextEvent(ByteArrayInputStream)","io.debezium.connector.mysql.legacy.BinlogReader","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\BinlogReader.java",269
2,"'-tryline","231","org.eclipse.jdt.core.dom.MethodDeclaration","'-recoverflag","'-logged","'-abort","'-default","[edde.getCause()]","[header.setEventType(EventType.INCIDENT), header.setTimestamp(edde.getEventHeader().getTimestamp()), edde.getEventHeader().getTimestamp(), edde.getEventHeader(), header.setServerId(edde.getEventHeader().getServerId()), edde.getEventHeader().getServerId(), edde.getEventHeader(), edde.getEventHeader(), header.setEventLength(((EventHeaderV4)edde.getEventHeader()).getEventLength()), ((EventHeaderV4)edde.getEventHeader()).getEventLength(), edde.getEventHeader(), header.setNextPosition(((EventHeaderV4)edde.getEventHeader()).getNextPosition()), ((EventHeaderV4)edde.getEventHeader()).getNextPosition(), edde.getEventHeader(), header.setFlags(((EventHeaderV4)edde.getEventHeader()).getFlags()), ((EventHeaderV4)edde.getEventHeader()).getFlags(), edde.getEventHeader()]","[throw edde;
]","[return new Event(header,data);
]","'-continue","'-finallyblock","{Lcom/github/shyiko/mysql/binlog/event/EventHeader;.getEventType()Lcom/github/shyiko/mysql/binlog/event/EventType;=[], Ljava/util/Map<Ljava/lang/Long;Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;>;.put(Ljava/lang/Long;Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;)Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;=[], Lcom/github/shyiko/mysql/binlog/event/Event;.getData<T::Lcom/github/shyiko/mysql/binlog/event/EventData;>()TT;%<Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;>=[], Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;.getTableId()J=[], Lcom/github/shyiko/mysql/binlog/event/Event;.getHeader<T::Lcom/github/shyiko/mysql/binlog/event/EventHeader;>()TT;%<Lcom/github/shyiko/mysql/binlog/event/EventHeader;>=[]}","{Lcom/github/shyiko/mysql/binlog/event/EventHeader;.getEventType()Lcom/github/shyiko/mysql/binlog/event/EventType;=1, Ljava/util/Map<Ljava/lang/Long;Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;>;.put(Ljava/lang/Long;Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;)Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;=1, Lcom/github/shyiko/mysql/binlog/event/Event;.getData<T::Lcom/github/shyiko/mysql/binlog/event/EventData;>()TT;%<Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;>=1, Lcom/github/shyiko/mysql/binlog/event/TableMapEventData;.getTableId()J=1, Lcom/github/shyiko/mysql/binlog/event/Event;.getHeader<T::Lcom/github/shyiko/mysql/binlog/event/EventHeader;>()TT;%<Lcom/github/shyiko/mysql/binlog/event/EventHeader;>=1}","[]","pEvent.getTableId(), tableMapEvent);
                    }
                    return event;
                }
                // DBZ-217 In case an event couldn't be read we create a pseudo-event for the sake of logging
                catch (EventDataDeserializationException edde) {
                    // DBZ-3095 As of Java 15, when reaching EOF in the binlog stream, the polling loop in
                    // BinaryLogClient#listenForEventPackets() keeps returning values != -1 from peek();
                    // this causes the loop to never finish
                    // Propagating the exception (either EOF or socket closed) causes the loop to be aborted
                    // in this case
                    if (edde.getCause() instanceof IOException) {
                        throw edde;
                    }

                    EventHeaderV4 header = new EventHeaderV4();
                    header.setEventType(EventType.INCIDENT);
                    header.setTimestamp(edde.getEventHeader().getTimestamp());
                    header.setServerId(edde.getEventHeader().getServerId());

                    if (edde.getEventHeader() instanceof EventHeaderV4) {
                        header.setEventLength(((EventHeaderV4) edde.getEventHeader()).getEventLength());
                        header.setNextPosition(((EventHeaderV4) edde.get","com.github.shyiko.mysql.binlog.event.deserialization.EventDataDeserializationException","nextEvent(ByteArrayInputStream)","io.debezium.connector.mysql.MySqlStreamingChangeEventSource","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\MySqlStreamingChangeEventSource.java",243
3,"'-tryline","115","org.eclipse.jdt.core.dom.IfStatement","'-recoverflag","[logger.warn(Ignoring unparseable statements '{}' stored in database history: {},ddl,e)]","'-abort","'-default","'-getcause","'-otherinvocation","[throw e;
]","'-return","'-continue","'-finallyblock","{Lorg/slf4j/Logger;.debug(Ljava/lang/String;Ljava/lang/Object;)V=[], Lio/debezium/relational/ddl/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\relational\ddl\DdlParser~DdlParser;.parse(Ljava/lang/String;Lio/debezium/relational/Tables;)V=[io.debezium.text.ParsingException], Lio/debezium/relational/history/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\relational\history\DatabaseHistoryListener~DatabaseHistoryListener;.onChangeApplied(Lio/debezium/relational/history/HistoryRecord;)V=[]}","{Lorg/slf4j/Logger;.debug(Ljava/lang/String;Ljava/lang/Object;)V=1, Lio/debezium/relational/ddl/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\relational\ddl\DdlParser~DdlParser;.parse(Ljava/lang/String;Lio/debezium/relational/Tables;)V=1, Lio/debezium/relational/history/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\relational\history\DatabaseHistoryListener~DatabaseHistoryListener;.onChangeApplied(Lio/debezium/relational/history/HistoryRecord;)V=1}","[io.debezium.text.ParsingException]","dl, schema);
                        listener.onChangeApplied(recovered);
                    }
                    catch (final ParsingException e) {
                        if (skipUnparseableDDL) {
                            logger.warn(Ignoring unparseable statements '{}' stored in database history: {","io.debezium.text.ParsingException","recover(Map<String,?>,Map<String,?>,Tables,DdlParser)","io.debezium.relational.history.AbstractDatabaseHistory","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\relational\history\AbstractDatabaseHistory.java",120
4,"'-tryline","44","org.eclipse.jdt.core.dom.EnhancedForStatement","'-recoverflag","'-logged","'-abort","'-default","'-getcause","[AntlrDdlParser.accumulateParsingFailure(parsingException,errors)]","'-thrown","'-return","'-continue","'-finallyblock","{Lorg/antlr/v4/runtime/tree/ParseTreeListener;.enterEveryRule(Lorg/antlr/v4/runtime/ParserRuleContext;)V=[], Lorg/antlr/v4/runtime/ParserRuleContext;.enterRule(Lorg/antlr/v4/runtime/tree/ParseTreeListener;)V=[]}","{Lorg/antlr/v4/runtime/tree/ParseTreeListener;.enterEveryRule(Lorg/antlr/v4/runtime/ParserRuleContext;)V=1, Lorg/antlr/v4/runtime/ParserRuleContext;.enterRule(Lorg/antlr/v4/runtime/tree/ParseTreeListener;)V=1}","[]","terRule(listener);
            }
            catch (ParsingException parsingException) {
      ","io.debezium.text.ParsingException","delegateEnterRule(ParserRuleContext,Collection<ParseTreeListener>,Collection<ParsingException>)","io.debezium.antlr.ProxyParseTreeListenerUtil","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-ddl-parser\src\main\java\io\debezium\antlr\ProxyParseTreeListenerUtil.java",48
5,"'-tryline","63","org.eclipse.jdt.core.dom.EnhancedForStatement","'-recoverflag","'-logged","'-abort","'-default","'-getcause","[AntlrDdlParser.accumulateParsingFailure(parsingException,errors)]","'-thrown","'-return","'-continue","'-finallyblock","{Lorg/antlr/v4/runtime/tree/ParseTreeListener;.exitEveryRule(Lorg/antlr/v4/runtime/ParserRuleContext;)V=[], Lorg/antlr/v4/runtime/ParserRuleContext;.exitRule(Lorg/antlr/v4/runtime/tree/ParseTreeListener;)V=[]}","{Lorg/antlr/v4/runtime/tree/ParseTreeListener;.exitEveryRule(Lorg/antlr/v4/runtime/ParserRuleContext;)V=1, Lorg/antlr/v4/runtime/ParserRuleContext;.exitRule(Lorg/antlr/v4/runtime/tree/ParseTreeListener;)V=1}","[]","         listener.exitEveryRule(ctx);
            }
            catch (ParsingException parsingE","io.debezium.text.ParsingException","delegateExitRule(ParserRuleContext,Collection<ParseTreeListener>,Collection<ParsingException>)","io.debezium.antlr.ProxyParseTreeListenerUtil","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-ddl-parser\src\main\java\io\debezium\antlr\ProxyParseTreeListenerUtil.java",67
6,"'-tryline","83","org.eclipse.jdt.core.dom.EnhancedForStatement","'-recoverflag","'-logged","'-abort","'-default","'-getcause","[AntlrDdlParser.accumulateParsingFailure(parsingException,errors)]","'-thrown","'-return","'-continue","'-finallyblock","{Lorg/antlr/v4/runtime/tree/ParseTreeListener;.visitErrorNode(Lorg/antlr/v4/runtime/tree/ErrorNode;)V=[]}","{Lorg/antlr/v4/runtime/tree/ParseTreeListener;.visitErrorNode(Lorg/antlr/v4/runtime/tree/ErrorNode;)V=1}","[]","   try {
                listener.visitErrorNode(node);
            }
            catch (Parsin","io.debezium.text.ParsingException","visitErrorNode(ErrorNode,Collection<ParseTreeListener>,Collection<ParsingException>)","io.debezium.antlr.ProxyParseTreeListenerUtil","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-ddl-parser\src\main\java\io\debezium\antlr\ProxyParseTreeListenerUtil.java",86
7,"'-tryline","101","org.eclipse.jdt.core.dom.EnhancedForStatement","'-recoverflag","'-logged","'-abort","'-default","'-getcause","[AntlrDdlParser.accumulateParsingFailure(parsingException,errors)]","'-thrown","'-return","'-continue","'-finallyblock","{Lorg/antlr/v4/runtime/tree/ParseTreeListener;.visitTerminal(Lorg/antlr/v4/runtime/tree/TerminalNode;)V=[]}","{Lorg/antlr/v4/runtime/tree/ParseTreeListener;.visitTerminal(Lorg/antlr/v4/runtime/tree/TerminalNode;)V=1}","[]","eners) {
            try {
                listener.visitTerminal(node);
            }
       ","io.debezium.text.ParsingException","visitTerminal(TerminalNode,Collection<ParseTreeListener>,Collection<ParsingException>)","io.debezium.antlr.ProxyParseTreeListenerUtil","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-ddl-parser\src\main\java\io\debezium\antlr\ProxyParseTreeListenerUtil.java",104
8,"'-tryline","94","org.eclipse.jdt.core.dom.Initializer","'-recoverflag","'-logged","'-abort","'-default","[e.getCause()]","'-otherinvocation","[throw new DataException(e.getCause());
]","'-return","'-continue","'-finallyblock","{Ljava/lang/Class<Lorg/apache/kafka/connect/json/JsonConverter;>;.getDeclaredMethod(Ljava/lang/String;[Ljava/lang/Class<*>;)Ljava/lang/reflect/Method;|Ljava/lang/NoSuchMethodException;|Ljava/lang/SecurityException;=[java.lang.SecurityException, java.lang.NoSuchMethodException], Ljava/lang/reflect/Method;.setAccessible(Z)V=[]}","{Ljava/lang/Class<Lorg/apache/kafka/connect/json/JsonConverter;>;.getDeclaredMethod(Ljava/lang/String;[Ljava/lang/Class<*>;)Ljava/lang/reflect/Method;|Ljava/lang/NoSuchMethodException;|Ljava/lang/SecurityException;=1, Ljava/lang/reflect/Method;.setAccessible(Z)V=1}","[java.lang.SecurityException, java.lang.NoSuchMethodException]","JsonNode.class);
            CONVERT_TO_CONNECT_METHOD.setAcc","java.lang.NoSuchMethodException","!NAME_NA!","io.debezium.converters.CloudEventsConverter","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\converters\CloudEventsConverter.java",98
9,"'-tryline","348","org.eclipse.jdt.core.dom.SwitchStatement","'-recoverflag","'-logged","'-abort","'-default","'-getcause","'-otherinvocation","[throw new DataException(Converting byte[] to Kafka Connect data failed due to serialization error: ,e);
]","'-return","'-continue","'-finallyblock","{Lorg/apache/kafka/connect/json/JsonDeserializer;.deserialize(Ljava/lang/String;[B)Lcom/fasterxml/jackson/databind/JsonNode;=[]}","{Lorg/apache/kafka/connect/json/JsonDeserializer;.deserialize(Ljava/lang/String;[B)Lcom/fasterxml/jackson/databind/JsonNode;=1}","[]","emaAndValue reconvertData(String topic, byte[] serializedData, SerializerType dataType, Boolean enableSchemas) {
        switch (dataType) {
   ","org.apache.kafka.common.errors.SerializationException","reconvertData(String,byte[],SerializerType,Boolean)","io.debezium.converters.CloudEventsConverter","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\converters\CloudEventsConverter.java",351
10,"'-tryline","41","org.eclipse.jdt.core.dom.MethodDeclaration","'-recoverflag","'-logged","'-abort","'-default","'-getcause","'-otherinvocation","[throw new RuntimeException(e);
]","'-return","'-continue","'-finallyblock","{Ljava/net/URL;.toURI()Ljava/net/URI;|Ljava/net/URISyntaxException;=[java.net.URISyntaxException], Ljava/lang/Object;.getClass()Ljava/lang/Class<+Lio/debezium/testing/openshift/tools/databases/sqlserver/SqlServerController;>;=[], Lio/debezium/testing/openshift/tools/databases/sqlserver/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-testing\debezium-testing-openshift\src\main\java\io\debezium\testing\openshift\tools\databases\sqlserver\SqlServerController~SqlServerController;&Ljava/lang/Class<!Ljava/lang/Class;{0}+Lio/debezium/testing/openshift/tools/databases/sqlserver/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-testing\debezium-testing-openshift\src\main\java\io\debezium\testing\openshift\tools\databases\sqlserver\SqlServerController~SqlServerController;1583;>;.getResource(Ljava/lang/String;)Ljava/net/URL;=[], Ljava/nio/file/Paths;.get(Ljava/net/URI;)Ljava/nio/file/Path;=[]}","{Ljava/net/URL;.toURI()Ljava/net/URI;|Ljava/net/URISyntaxException;=1, Ljava/lang/Object;.getClass()Ljava/lang/Class<+Lio/debezium/testing/openshift/tools/databases/sqlserver/SqlServerController;>;=1, Lio/debezium/testing/openshift/tools/databases/sqlserver/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-testing\debezium-testing-openshift\src\main\java\io\debezium\testing\openshift\tools\databases\sqlserver\SqlServerController~SqlServerController;&Ljava/lang/Class<!Ljava/lang/Class;{0}+Lio/debezium/testing/openshift/tools/databases/sqlserver/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-testing\debezium-testing-openshift\src\main\java\io\debezium\testing\openshift\tools\databases\sqlserver\SqlServerController~SqlServerController;1583;>;.getResource(Ljava/lang/String;)Ljava/net/URL;=1, Ljava/nio/file/Paths;.get(Ljava/net/URI;)Ljava/nio/file/Path;=1}","[java.net.URISyntaxException]","SCRIPT_PATH).toURI());
        }
        catch (URIS","java.net.URISyntaxException","SqlServerController(Deployment,List<Service>,String,OpenShiftClient)","io.debezium.testing.openshift.tools.databases.sqlserver.SqlServerController","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-testing\debezium-testing-openshift\src\main\java\io\debezium\testing\openshift\tools\databases\sqlserver\SqlServerController.java",44
