id,TryLine,ThrowsBlock,ExceptionType,FilePath,StartLine
1,"'-tryline","@Override public void evaluate() throws Throwable {
  StringBuilder messageBuilder=new StringBuilder(description.testCount());
  messageBuilder.append(Skipped ).append(description.toString());
  if (reason != null && !reason.trim().isEmpty()) {
    messageBuilder.append( because: ).append(reason);
  }
  System.out.println(messageBuilder.toString());
}
","java.lang.Throwable","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\test\java\io\debezium\junit\AnnotationBasedTestRule.java",23
2,"'-tryline","@Override public void evaluate() throws Throwable {
  Throwable failure=null;
  try {
    base.evaluate();
  }
 catch (  final Throwable t) {
    failure=t;
  }
  if (condition.get() && failure == null) {
    Assert.fail(Expected failing test for  + description);
  }
 else   if (condition.get() && failure != null) {
    System.out.println(Ignored failure for  + description);
  }
 else   if (failure != null) {
    throw failure;
  }
}
","java.lang.Throwable","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\test\java\io\debezium\junit\ConditionalFail.java",33
3,"'-tryline","/** 
 * Return the value of this token and move to the next token.
 * @return the value of the current token
 * @throws ParsingException if there is no such token to consume
 * @throws IllegalStateException if this method was called before the stream was {@link #start() started}
 */
public String consume() throws ParsingException, IllegalStateException {
  if (completed) {
    throwNoMoreContent();
  }
  String result=currentToken().value();
  moveToNextToken();
  return result;
}
","java.lang.IllegalStateException","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\text\TokenStream.java",567
4,"'-tryline","public String peek() throws IllegalStateException {
  if (completed) {
    throwNoMoreContent();
  }
  return currentToken().value();
}
","java.lang.IllegalStateException","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\text\TokenStream.java",589
5,"'-tryline","/** 
 * Attempt to consume this current token as long as it matches the expected value, or throw an exception if the token does not match. <p> The  {@link #ANY_VALUE ANY_VALUE} constant can be used in the expected values as a wildcard.</p>
 * @param expected the expected value of the current token
 * @return this token stream instance so callers can chain together methods; never null
 * @throws ParsingException if the current token doesn't match the supplied value
 * @throws IllegalStateException if this method was called before the stream was {@link #start() started}
 */
public TokenStream consume(String expected) throws ParsingException, IllegalStateException {
  if (completed) {
    throw new ParsingException(tokens.get(tokens.size() - 1).position(),No more content but was expecting token  + expected);
  }
  if (expected != ANY_VALUE && !currentToken().matches(expected)) {
    String found=currentToken().value();
    Position pos=currentToken().position();
    String fragment=generateFragment();
    String msg=Expecting  + expected +  at line + pos.line()+ , column + pos.column()+  but found '+ found+ ': + fragment;
    throw new ParsingException(pos,msg);
  }
  moveToNextToken();
  return this;
}
","java.lang.IllegalStateException","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\text\TokenStream.java",597
6,"'-tryline","/** 
 * Attempt to consume this current token as long as it matches the expected character, or throw an exception if the token does not match.
 * @param expected the expected character of the current token
 * @return this token stream instance so callers can chain together methods; never null
 * @throws ParsingException if the current token doesn't match the supplied value
 * @throws IllegalStateException if this method was called before the stream was {@link #start() started}
 */
public TokenStream consume(char expected) throws ParsingException, IllegalStateException {
  if (completed) {
    throw new ParsingException(tokens.get(tokens.size() - 1).position(),No more content but was expecting ' + expected + ');
  }
  if (!currentToken().matches(expected)) {
    String found=currentToken().value();
    Position pos=currentToken().position();
    String fragment=generateFragment();
    String msg=Expecting ' + expected + ' at line + pos.line()+ , column + pos.column()+  but found '+ found+ ': + fragment;
    throw new ParsingException(pos,msg);
  }
  moveToNextToken();
  return this;
}
","java.lang.IllegalStateException","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\text\TokenStream.java",626
7,"'-tryline","/** 
 * Attempt to consume this current token as long as it matches the expected character, or throw an exception if the token does not match. <p> The  {@link #ANY_TYPE ANY_TYPE} constant can be used in the expected values as a wildcard.</p>
 * @param expectedType the expected token type of the current token
 * @return this token stream instance so callers can chain together methods; never null
 * @throws ParsingException if the current token doesn't match the supplied value
 * @throws IllegalStateException if this method was called before the stream was {@link #start() started}
 */
public TokenStream consume(int expectedType) throws ParsingException, IllegalStateException {
  if (completed) {
    throw new ParsingException(tokens.get(tokens.size() - 1).position(),No more content but was expecting token of type  + expectedType);
  }
  if (expectedType != ANY_TYPE && (currentToken().type() & expectedType) != expectedType) {
    String found=currentToken().value();
    Position pos=currentToken().position();
    String fragment=generateFragment();
    String msg=Expecting token type  + expectedType +  at line + pos.line()+ , column + pos.column()+  but found '+ found+ ': + fragment;
    throw new ParsingException(pos,msg);
  }
  moveToNextToken();
  return this;
}
","java.lang.IllegalStateException","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\text\TokenStream.java",652
8,"'-tryline","/** 
 * Attempt to consume this current token as the next tokens as long as they match the expected values, or throw an exception if the token does not match. <p> The  {@link #ANY_VALUE ANY_VALUE} constant can be used in the expected values as a wildcard.</p>
 * @param expected the expected value of the current token
 * @param expectedForNextTokens the expected values of the following tokens
 * @return this token stream instance so callers can chain together methods; never null
 * @throws ParsingException if the current token doesn't match the supplied value
 * @throws IllegalStateException if this method was called before the stream was {@link #start() started}
 */
public TokenStream consume(String expected,String... expectedForNextTokens) throws ParsingException, IllegalStateException {
  consume(expected);
  for (  String nextExpected : expectedForNextTokens) {
    consume(nextExpected);
  }
  return this;
}
","java.lang.IllegalStateException","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\text\TokenStream.java",683
9,"'-tryline","/** 
 * Attempt to consume this current token as the next tokens as long as they match the expected values, or throw an exception if the token does not match. <p> The  {@link #ANY_VALUE ANY_VALUE} constant can be used in the expected values as a wildcard.</p>
 * @param nextTokens the expected values for the next tokens
 * @return this token stream instance so callers can chain together methods; never null
 * @throws ParsingException if the current token doesn't match the supplied value
 * @throws IllegalStateException if this method was called before the stream was {@link #start() started}
 */
public TokenStream consume(String[] nextTokens) throws ParsingException, IllegalStateException {
  for (  String nextExpected : nextTokens) {
    consume(nextExpected);
  }
  return this;
}
","java.lang.IllegalStateException","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\text\TokenStream.java",706
10,"'-tryline","/** 
 * Attempt to consume this current token as the next tokens as long as they match the expected values, or throw an exception if the token does not match. <p> The  {@link #ANY_VALUE ANY_VALUE} constant can be used in the expected values as a wildcard.</p>
 * @param nextTokens the expected values for the next tokens
 * @return this token stream instance so callers can chain together methods; never null
 * @throws ParsingException if the current token doesn't match the supplied value
 * @throws IllegalStateException if this method was called before the stream was {@link #start() started}
 */
public TokenStream consume(Iterable<String> nextTokens) throws ParsingException, IllegalStateException {
  for (  String nextExpected : nextTokens) {
    consume(nextExpected);
  }
  return this;
}
","java.lang.IllegalStateException","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\text\TokenStream.java",725
