File Path,Language,Project,CatchSLOC,CatchLOC,Avg Catch LOC,Avg Catch SLOC,AP Catch and do nothing,Avg. AP Catch and do nothing,AP Destructive Wrapping,Avg. AP Destructive Wrapping,Sum of AP Dummy Handler,Avg. AP Dummy Handler,AP Incomplete implementation,Avg. AP Incomplete implementation,AP Ignoring Interrupted Exception,Avg. AP Ignoring Interrupted Exception,Sum of AP Log and Return null,Avg. AP Log and Return null,AP Log and Throw,Avg. AP Log and Throw,AP Multi-line log messages,Avg. AP Multi-line log messages,AP Nested try block,Avg. AP Nested try block,AP Relying on getCause(),Avg. AP Relying on getCause(),AP Throw within finally,Avg. AP Throw within finally,Potentially Recoverable,Potentially UnRecoverable,Recoverability Not Relevant,Avg. Potentially Recoverable,Avg. Potentially UnRecoverable,Avg. Recoverability Not Relevant,Sum. AP Overcatch,Avg. AP Overcatch
cassandra/src/java/org/apache/cassandra/transport/CBUtil.java,Java,Cassandra,7,21,3,1,5,0.714285714,1,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0.428571429,0.571428571,0,1,0.714285714
cassandra/src/java/org/apache/cassandra/io/sstable/SSTableIdentityIterator.java,Java,Cassandra,22,38,6.333333333,3.666666667,4,0.666666667,4,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.333333333,0,0,4,2,0,0.666666667,0.333333333,0,1,0.666666667
cassandra/src/java/org/apache/cassandra/db/marshal/CompositeType.java,Java,Cassandra,2,12,6,1,1,0.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0.5,0,0,0.5
cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,Java,Cassandra,365,457,2.849315068,1,90,0.246575342,180,0.493150685,95,0.260273973,0,0,0,0,90,0.246575342,0,0,0,0,0,0,0,0,0,0,365,0,0,1,0,0,90,1
cassandra/tools/stress/src/org/apache/cassandra/stress/StressProfile.java,Java,Cassandra,5,21,2.625,0.625,6,0.75,5,0.625,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0.625,0.375,0,14,1
cassandra/tools/stress/src/org/apache/cassandra/stress/settings/SettingsSchema.java,Java,Cassandra,5,18,3,0.833333333,3,0.5,3,0.5,4,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.833333333,0.166666667,0,10,1
cassandra/src/java/org/apache/cassandra/service/StorageProxy.java,Java,Cassandra,118,220,5.789473684,3.105263158,8,0.210526316,7,0.184210526,185,4.868421053,1,0.125,1,0.026315789,14,0.368421053,10,0.263157895,3,0.078947368,0,0,0,0,16,0.421052632,15,23,0,0.394736842,0.605263158,0,37,1
cassandra/src/java/org/apache/cassandra/service/ClientState.java,Java,Cassandra,3,7,3.5,1.5,2,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0.5,0,1,1
cassandra/src/java/org/apache/cassandra/batchlog/BatchlogManager.java,Java,Cassandra,7,15,5,2.333333333,1,0.333333333,1,0.333333333,2,0.666666667,0,0,0,0,1,0.333333333,0,0,1,0.333333333,0,0,0,0,0,0,2,1,0,0.666666667,0.333333333,0,4,1
cassandra/src/java/org/apache/cassandra/auth/PasswordAuthenticator.java,Java,Cassandra,3,8,4,1.5,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0.5,0,0,0.5
cassandra/src/java/org/apache/cassandra/auth/CassandraRoleManager.java,Java,Cassandra,14,31,4.428571429,2,2,0.285714286,2,0.285714286,5,0.714285714,0,0,0,0,6,0.857142857,5,0.714285714,1,0.142857143,0,0,0,0,0,0,2,5,0,0.285714286,0.714285714,0,32,1
cassandra/src/java/org/apache/cassandra/auth/Roles.java,Java,Cassandra,2,4,4,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
cassandra/src/java/org/apache/cassandra/cql3/statements/CreateFunctionStatement.java,Java,Cassandra,1,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cassandra/src/java/org/apache/cassandra/cql3/statements/CreateKeyspaceStatement.java,Java,Cassandra,3,8,4,1.5,0,0,1,0.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
cassandra/src/java/org/apache/cassandra/cql3/statements/CreateTableStatement.java,Java,Cassandra,3,8,4,1.5,0,0,1,0.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
cassandra/src/java/org/apache/cassandra/cql3/statements/CreateAggregateStatement.java,Java,Cassandra,2,7,3.5,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
cassandra/src/java/org/apache/cassandra/thrift/CassandraServer.java,Java,Cassandra,60,181,3.016666667,1,13,0.216666667,14,0.233333333,145,2.416666667,1,0.5,0,0,1,0.016666667,0,0,0,0,0,0,0,0,33,0.55,16,44,0,0.266666667,0.733333333,0,308,1
cassandra/src/java/org/apache/cassandra/tracing/TraceStateImpl.java,Java,Cassandra,4,12,4,1.333333333,1,0.333333333,0,0,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0.666666667,0.333333333,0,3,1
cassandra/src/java/org/apache/cassandra/security/CipherFactory.java,Java,Cassandra,5,12,4,1.666666667,2,0.666666667,2,0.666666667,0,0,0,0,0,0,1,0.333333333,1,0.333333333,0,0,0,0,1,0.333333333,0,0,3,0,0,1,0,0,12,1
cassandra/src/java/org/apache/cassandra/security/EncryptionUtils.java,Java,Cassandra,3,9,3,1,2,0.666666667,2,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,6,1
cassandra/src/java/org/apache/cassandra/utils/SyncUtil.java,Java,Cassandra,3,15,2.5,0.5,3,0.5,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,6,1
cassandra/src/java/org/apache/cassandra/utils/FastByteOperations.java,Java,Cassandra,5,16,4,1.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,9,1
cassandra/src/java/org/apache/cassandra/hadoop/HadoopCompat.java,Java,Cassandra,12,37,3.083333333,1,3,0.25,10,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0.916666667,0.083333333,0,8,1
cassandra/src/java/org/apache/cassandra/io/sstable/SnapshotDeletingTask.java,Java,Cassandra,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
cassandra/src/java/org/apache/cassandra/config/DatabaseDescriptor.java,Java,Cassandra,28,86,3.583333333,1.166666667,6,0.25,10,0.416666667,0,0,0,0,0,0,3,0.125,3,0.125,0,0,0,0,1,0.041666667,0,0,17,7,0,0.708333333,0.291666667,0,24,1
cassandra/src/java/org/apache/cassandra/db/Directories.java,Java,Cassandra,5,14,4.666666667,1.666666667,1,0.333333333,0,0,0,0,0,0,0,0,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0.333333333
cassandra/src/java/org/apache/cassandra/transport/Frame.java,Java,Cassandra,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cassandra/src/java/org/apache/cassandra/cql3/functions/ScriptBasedUDFunction.java,Java,Cassandra,5,12,4,1.666666667,0,0,2,0.666666667,0,0,0,0,0,0,1,0.333333333,1,0.333333333,0,0,0,0,1,0.333333333,0,0,3,0,0,1,0,0,0,0
cassandra/src/java/org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor.java,Java,Cassandra,4,12,3,1,1,0.25,2,0.5,0,0,0,0,2,0.5,1,0.25,0,0,0,0,0,0,1,0.25,0,0,3,1,0,0.75,0.25,0,0,0.25
cassandra/src/java/org/apache/cassandra/net/MessagingService.java,Java,Cassandra,22,56,4.307692308,1.692307692,5,0.384615385,5,0.384615385,20,1.538461538,0,0,1,0.076923077,5,0.384615385,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,9,1
cassandra/src/java/org/apache/cassandra/net/OutboundTcpConnection.java,Java,Cassandra,35,76,6.333333333,2.916666667,4,0.333333333,4,0.333333333,11,0.916666667,0,0,4,0.333333333,7,0.583333333,0,0,2,0.166666667,0,0,1,0.083333333,1,0.083333333,12,0,0,1,0,0,17,1
cassandra/src/java/org/apache/cassandra/hadoop/cql3/CqlRecordWriter.java,Java,Cassandra,20,49,5.444444444,2.222222222,5,0.555555556,4,0.444444444,0,0,0,0,3,0.333333333,1,0.111111111,0,0,0,0,0,0,0,0,0,0,8,1,0,0.888888889,0.111111111,0,7,1
cassandra/src/java/org/apache/cassandra/io/util/CompressedChunkReader.java,Java,Cassandra,4,12,3,1,0,0,4,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,4,0,0,1,0,0,0,0
cassandra/src/java/org/apache/cassandra/io/compress/CompressedSequentialWriter.java,Java,Cassandra,10,28,2.8,1,2,0.2,8,0.8,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,1
cassandra/src/java/org/apache/cassandra/transport/Client.java,Java,Cassandra,7,17,3.4,1.4,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0.4,0.6,0,3,1
cassandra/src/java/org/apache/cassandra/transport/FrameCompressor.java,Java,Cassandra,11,23,3.833333333,1.833333333,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.666666667,6,0,0,1,0,0,3,1
cassandra/src/java/org/apache/cassandra/transport/messages/PrepareMessage.java,Java,Cassandra,2,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
cassandra/src/java/org/apache/cassandra/transport/messages/BatchMessage.java,Java,Cassandra,2,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,1
cassandra/src/java/org/apache/cassandra/transport/messages/QueryMessage.java,Java,Cassandra,3,6,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1
cassandra/src/java/org/apache/cassandra/transport/messages/ExecuteMessage.java,Java,Cassandra,2,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1
cassandra/src/java/org/apache/cassandra/transport/Message.java,Java,Cassandra,10,22,4.4,2,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,6,1
cassandra/src/java/org/apache/cassandra/service/CacheService.java,Java,Cassandra,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1
cassandra/src/java/org/apache/cassandra/service/GCInspector.java,Java,Cassandra,4,12,4,1.333333333,3,1,1,0.333333333,0,0,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,8,1
cassandra/src/java/org/apache/cassandra/service/StorageService.java,Java,Cassandra,37,104,3.25,1.15625,10,0.3125,21,0.65625,12,0.375,0,0,4,0.125,7,0.21875,2,0.0625,0,0,0,0,2,0.0625,4,0.125,26,6,0,0.8125,0.1875,0,114,1
cassandra/src/java/org/apache/cassandra/service/StartupChecks.java,Java,Cassandra,5,15,3,1,1,0.2,2,0.4,3,0.6,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,3,2,0,0.6,0.4,0,3,1
cassandra/src/java/org/apache/cassandra/service/CassandraDaemon.java,Java,Cassandra,28,64,4.923076923,2.153846154,3,0.230769231,1,0.076923077,5,0.384615385,0,0,0,0,6,0.461538462,0,0,1,0.076923077,0,0,4,0.307692308,0,0,11,2,0,0.846153846,0.153846154,0,78,1
cassandra/src/java/org/apache/cassandra/index/sasi/analyzer/filter/StopWordFactory.java,Java,Cassandra,3,7,3.5,1.5,1,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0.5
