File Path,Language,Project,Avg Max Depth,Avg Depth,Avg Try SLOC,Avg Try LOC,Try SLOC,Try LOC,# Handled with Nested Try,# Handled with Log,# Handled with Abort,# Handled with Default,# Handled with Method,# Handled with Throw with New,# Handled with Throw Wrap,# Handled with Return,# Handled with Continue,# Handled with Empty,# Handled with ToDo,# Handled with Throw without New,% Handled with Nested Try,% Handled with Log,% Handled with Abort,% Handled with Default,% Handled with Method,% Handled with Throw with New,% Handled with Throw Wrap,% Handled with Return,% Handled with Continue,% Handled with Empty,% Handled with ToDo,% Handled with Throw without New,# Possible Exceptions,# Propagated and Potentially Recoverable,% Doc in Comment,% External Doc,# Propagated,Avg # Declaring Methods,Avg # Invoked Method,% Subsumption,% Specific,% Throw Statement,% Method Declaration,Sum of Num Distinct Methods,Num Distinct Methods,# Try in Conditional,# Try in Declaration,# Try in EH Feature,# Try in Loop,# Try in Other,# Try,% Try in Conditional,% Try in Declaration,% Try in EH Feature,% Try in Loop,% Try in Other,% Propagated and Potentially Recoverable,% Propagated,Avg Exc Type Prevalence
cassandra/src/java/org/apache/cassandra/utils/Throwables.java,Java,Cassandra,6.666666667,1.777777778,2,4,14,28,0,0,0,0,0.428571429,1,0.142857143,0,0,0,0,0,0.094092345,0,0,0,0,0.096712976,0.258984966,0.03490509,0,0,0,0,1,0.428571429,0,0,1,1,1,0.104392917,0.08751115,0.08751115,0.08751115,14,2,3,1,0,0,0,4,0.75,0.25,0,0,0,0,0,184
cassandra/src/java/org/apache/cassandra/service/pager/PagingState.java,Java,Cassandra,13.85714286,3.695238095,2.333333333,4.666666667,14,28,0,0,0,0,1,1,1.333333333,0,0,0,0,0,0.094092345,0,0,0,0,0.225663611,0.258984966,0.325780842,0,0,0,0,4.666666667,1,0.079872204,0.052493438,1.428571429,1.055555556,1,0.149132739,0.092372881,0.092372881,0.092372881,19,3.166666667,0,1,0,0,0,1,0,1,0,0,0,0,0.6,229
cassandra/src/java/org/apache/cassandra/io/sstable/format/big/BigTableWriter.java,Java,Cassandra,13.23529412,3.529411765,3.5,7,7,14,0,0,0,0,0,1,1,0,0,0,0,0,0.047046172,0,0,0,0,0,0.258984966,0.244335632,0,0,0,0,5.666666667,0.5,0.079872204,0,1.470588235,1.25,1.25,0.153518996,0.109388938,0.109388938,0.109388938,9,4.5,1,0,0,0,0,1,1,0,0,0,0,0.633333333,0.5,103.3960114
cassandra/src/java/org/apache/cassandra/thrift/CassandraServer.java,Java,Cassandra,13.64136526,3.637697402,1.271232877,2.287671233,464,835,0,0.246575342,0,0,0,0.493150685,0.493150685,0,0,0,0,0.506849315,2.805968143,0,0.07637347,0,0,0,0.127718613,0.120494284,0,0,0,0,19.63,1,15.21565495,0,2.50229241,1,1,0.261221604,0.08751115,0.08751115,0.08751115,728,1.994520548,0,2,0,0,0,2,0,1,0,0,0,0,0.341666667,164.6666667
cassandra/src/java/org/apache/cassandra/serializers/DurationSerializer.java,Java,Cassandra,17.66666667,4.711111111,3.75,7.75,30,62,0,0,0,0,0.25,0.625,0.625,0,0,0.375,0,0.375,0.208347335,0,0,0,0,0.056415903,0.161865604,0.15270977,0,0,0.861574021,0,6,0.625,0,0.104986877,1.5,1,1,0.156589376,0.08751115,0.08751115,0.08751115,35,4.375,0,1,0,0,0,1,0,1,0,0,0,0,0.966666667,151.1666667
cassandra/src/java/org/apache/cassandra/db/commitlog/CommitLog.java,Java,Cassandra,17,4.533333333,3.666666667,8,22,48,0,0,0,0,0.333333333,0.5,0.5,0,0,0.166666667,0,0.5,0.161301163,0,0,0,0,0.075221204,0.129492483,0.122167816,0,0,0.382921787,0,4,0.833333333,0,0,1.5,1,1,0.156589376,0.08751115,0.08751115,0.08751115,32,5.333333333,0,5,0,0,0,5,0,1,0,0,0,0,0.2999223,127
cassandra/src/java/org/apache/cassandra/auth/CassandraLoginModule.java,Java,Cassandra,0.333333333,0.088888889,8.684210526,17.63157895,330,670,0,0.368421053,0,0,0.710526316,0.315789474,0.894736842,0,0,0,0,0.684210526,2.251495396,0,0.114113577,0,0,0.160339934,0.081784726,0.218616092,0,0,0,0,1,0.447368421,0.039936102,4.829396325,0.666666667,1,1,0.069595278,0.08751115,0.08751115,0.08751115,236,6.210526316,0,1,1,0,0,2,0,0.5,0.5,0,0,0,0.185507246,333
cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,Java,Cassandra,0.284810127,0.075949367,1.5,3,3,6,0,0.5,0,0,1,0.5,1,0,0,0,0,0.5,0.020162645,0,0.154868426,0,0,0.225663611,0.129492483,0.244335632,0,0,0,0,6.32,0.5,0,0,1.259493671,1,1,0.131482218,0.08751115,0.08751115,0.08751115,5,2.5,0,2,0,0,0,2,0,1,0,0,0,0,0.406593407,149.6238095
cassandra/tools/stress/src/org/apache/cassandra/stress/StressProfile.java,Java,Cassandra,3.137931034,0.836781609,3.666666667,6.333333333,11,19,0,0.666666667,0,0,0.666666667,0.333333333,0.333333333,0.333333333,0,0,0,0.666666667,0.063848377,0,0.206491235,0,0,0.150442408,0.086328322,0.081445211,0.29907342,0,0,0,9.666666667,0.666666667,0.079872204,0.31496063,1.551724138,1,1,0.161989009,0.08751115,0.08751115,0.08751115,9,3,2,1,0,0,0,3,0.666666667,0.333333333,0,0,0,0,0.624331551,168.5
cassandra/tools/stress/src/org/apache/cassandra/stress/Stress.java,Java,Cassandra,5.085106383,1.356028369,3.5,12,7,24,0,0.5,0,0,0.5,0.5,1,0.5,0,0,0,0.5,0.080650581,0,0.154868426,0,0,0.112831806,0.129492483,0.244335632,0.448610129,0,0,0,15.66666667,0.5,0.079872204,0.104986877,1.127659574,1.085294118,1.085294118,0.117719673,0.094975336,0.094975336,0.094975336,14,7,0,2,0,0,0,2,0,1,0,0,0,0,0.1,287
