Kind,Project,Name,File Path,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,Cassandra,cassandra/examples/hadoop_cql3_word_count/src/WordCount.java,cassandra/examples/hadoop_cql3_word_count/src/WordCount.java,2,2,3,1,15,1,14,0,5,1,10,10,10,9,6,10,0,1,3,6,259,30,197,73,100,32,106,142,72,83,13,13,15,3,3,0.16,28,28,30,12
File,Cassandra,cassandra/examples/hadoop_cql3_word_count/src/WordCountCounters.java,cassandra/examples/hadoop_cql3_word_count/src/WordCountCounters.java,2,2,2,1,11,0,10,0,4,1,4,8,8,7,3,8,0,1,2,5,168,22,123,45,57,23,67,91,47,47,4,4,6,1,2,0.19,18,18,20,8
File,Cassandra,cassandra/examples/hadoop_cql3_word_count/src/WordCountSetup.java,cassandra/examples/hadoop_cql3_word_count/src/WordCountSetup.java,2,2,2,1,19,1,17,0,1,7,2,7,7,0,0,7,0,6,0,1,181,22,142,55,67,18,58,73,39,44,3,3,3,1,2,0.13,14,14,15,7
File,Cassandra,cassandra/examples/triggers/src/org/apache/cassandra/triggers/AuditTrigger.java,cassandra/examples/triggers/src/org/apache/cassandra/triggers/AuditTrigger.java,1,1,1,1,16,1,15,0,1,1,0,2,2,1,1,2,0,1,0,1,72,8,47,23,19,17,26,30,23,14,2,2,2,1,1,0.36,3,3,3,2
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java,1,1,1,1,6,0,6,0,6,3,5,38,36,35,4,38,1,2,0,35,400,65,286,87,144,52,121,193,76,128,5,5,9,5,3,0.18,67,67,72,50
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,1,1,2,1,7,0,6,0,6,3,5,40,38,37,4,40,1,2,0,37,465,67,349,109,169,52,160,241,102,153,6,6,9,5,4,0.15,75,75,80,52
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java,1,1,1,1,6,0,6,0,6,3,5,38,36,35,4,38,1,2,0,35,413,65,299,100,144,52,134,206,89,128,5,5,9,5,3,0.17,67,67,72,50
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CASResult.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CASResult.java,2,2,2,1,8,0,8,0,6,3,7,46,44,43,8,46,1,2,0,43,574,77,448,124,244,55,212,316,117,216,9,8,14,8,4,0.12,103,98,110,64
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,2,2,2,1,9,0,8,0,729,272,590,4984,4894,4802,724,5074,90,182,92,4710,55794,7639,45543,10242,27037,3278,20108,31177,9202,24075,20,20,44,20,6,0.07,11197,10537,12289,6840
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CfDef.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CfDef.java,4,3,5,2,17,0,15,0,6,3,68,250,248,247,86,250,1,2,0,247,4927,449,4235,604,2989,366,2058,3037,570,2652,125,125,289,125,4,0.09,1173,973,1378,502
